Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
cotton-candy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cotton-candy-4.jpeg,4,Cotton Candy — Set of 4 view 4,
cotton-candy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cotton-candy-5.jpeg,5,Cotton Candy — Set of 4 view 5,
cotton-candy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cotton-candy-6.jpeg,6,Cotton Candy — Set of 4 view 6,
cotton-candy,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cotton-candy-7.jpeg,7,Cotton Candy — Set of 4 view 7,
dahlia-dream,Dahlia Dream — Set of 4,"<p>A set of 4 handmade resin coasters with swirling pink-and-burgundy dahlia blooms.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3619,0,shopify,1,deny,manual,60.00,TRUE,TRUE,https://werecured.ca/images/dahlia-dream-1.jpeg,1,Dahlia Dream — Set of 4,draft
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-2.jpeg,2,Dahlia Dream — Set of 4 view 2,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-3.jpeg,3,Dahlia Dream — Set of 4 view 3,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-4.jpeg,4,Dahlia Dream — Set of 4 view 4,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-5.jpeg,5,Dahlia Dream — Set of 4 view 5,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-6.jpeg,6,Dahlia Dream — Set of 4 view 6,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-7.jpeg,7,Dahlia Dream — Set of 4 view 7,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-8.jpeg,8,Dahlia Dream — Set of 4 view 8,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-9.jpeg,9,Dahlia Dream — Set of 4 view 9,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-10.jpeg,10,Dahlia Dream — Set of 4 view 10,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-11.jpeg,11,Dahlia Dream — Set of 4 view 11,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-12.jpeg,12,Dahlia Dream — Set of 4 view 12,
dahlia-dream,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/dahlia-dream-13.jpeg,13,Dahlia Dream — Set of 4 view 13,
terra-cotta-bloom,Terra Cotta Bloom — Set of 4,"<p>A set of 4 handmade resin coasters in warm terra-cotta tones.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3624,0,shopify,1,deny,manual,50.00,TRUE,TRUE,https://werecured.ca/images/terra-cotta-bloom-1.jpeg,1,Terra Cotta Bloom — Set of 4,draft
terra-cotta-bloom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/terra-cotta-bloom-2.jpeg,2,Terra Cotta Bloom — Set of 4 view 2,
terra-cotta-bloom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/terra-cotta-bloom-3.jpeg,3,Terra Cotta Bloom — Set of 4 view 3,
terra-cotta-bloom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/terra-cotta-bloom-4.jpeg,4,Terra Cotta Bloom — Set of 4 view 4,
terra-cotta-bloom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/terra-cotta-bloom-5.jpeg,5,Terra Cotta Bloom — Set of 4 view 5,
terra-cotta-bloom,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/terra-cotta-bloom-6.jpeg,6,Terra Cotta Bloom — Set of 4 view 6,
frost-flower,Frost Flower — Set of 4,"<p>A set of 4 handmade resin coasters with a delicate frosted floral pattern.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3627,0,shopify,1,deny,manual,50.00,TRUE,TRUE,https://werecured.ca/images/frost-flower-1.jpeg,1,Frost Flower — Set of 4,draft
frost-flower,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/frost-flower-2.jpeg,2,Frost Flower — Set of 4 view 2,
frost-flower,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/frost-flower-3.jpeg,3,Frost Flower — Set of 4 view 3,
frost-flower,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/frost-flower-4.jpeg,4,Frost Flower — Set of 4 view 4,
frost-flower,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/frost-flower-5.jpeg,5,Frost Flower — Set of 4 view 5,
frost-flower,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/frost-flower-6.jpeg,6,Frost Flower — Set of 4 view 6,
smoky-rose,Smoky Rose — Set of 4,"<p>A set of 4 handmade resin coasters in smoky grey and rose.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3631,0,shopify,1,deny,manual,50.00,TRUE,TRUE,https://werecured.ca/images/smoky-rose-1.jpeg,1,Smoky Rose — Set of 4,draft
smoky-rose,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/smoky-rose-2.jpeg,2,Smoky Rose — Set of 4 view 2,
smoky-rose,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/smoky-rose-3.jpeg,3,Smoky Rose — Set of 4 view 3,
smoky-rose,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/smoky-rose-4.jpeg,4,Smoky Rose — Set of 4 view 4,
smoky-rose,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/smoky-rose-5.jpeg,5,Smoky Rose — Set of 4 view 5,
smoky-rose,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/smoky-rose-6.jpeg,6,Smoky Rose — Set of 4 view 6,
blue-frost-geode,Blue Frost Geode — Set of 4,"<p>A set of 4 handmade resin geode coasters in icy blue with crystal edges.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3635,0,shopify,1,deny,manual,60.00,TRUE,TRUE,https://werecured.ca/images/blue-frost-geode-1.jpeg,1,Blue Frost Geode — Set of 4,draft
blue-frost-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-frost-geode-2.jpeg,2,Blue Frost Geode — Set of 4 view 2,
blue-frost-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-frost-geode-3.jpeg,3,Blue Frost Geode — Set of 4 view 3,
blue-frost-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-frost-geode-4.jpeg,4,Blue Frost Geode — Set of 4 view 4,
blue-frost-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-frost-geode-5.jpeg,5,Blue Frost Geode — Set of 4 view 5,
blue-frost-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/blue-frost-geode-6.jpeg,6,Blue Frost Geode — Set of 4 view 6,
midnight-meadow,Midnight Meadow — Set of 4,"<p>A set of 4 handmade resin coasters in deep midnight florals.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3638,0,shopify,1,deny,manual,50.00,TRUE,TRUE,https://werecured.ca/images/midnight-meadow-1.jpeg,1,Midnight Meadow — Set of 4,draft
midnight-meadow,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/midnight-meadow-2.jpeg,2,Midnight Meadow — Set of 4 view 2,
midnight-meadow,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/midnight-meadow-3.jpeg,3,Midnight Meadow — Set of 4 view 3,
midnight-meadow,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/midnight-meadow-4.jpeg,4,Midnight Meadow — Set of 4 view 4,
midnight-meadow,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/midnight-meadow-5.jpeg,5,Midnight Meadow — Set of 4 view 5,
midnight-meadow,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/midnight-meadow-6.jpeg,6,Midnight Meadow — Set of 4 view 6,
sea-foam,Sea Foam — Set of 4,"<p>A set of 4 handmade resin geode coasters in sea-foam green and teal.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3641,0,shopify,1,deny,manual,60.00,TRUE,TRUE,https://werecured.ca/images/sea-foam-1.jpeg,1,Sea Foam — Set of 4,draft
sea-foam,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sea-foam-2.jpeg,2,Sea Foam — Set of 4 view 2,
sea-foam,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sea-foam-3.jpeg,3,Sea Foam — Set of 4 view 3,
sea-foam,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sea-foam-4.jpeg,4,Sea Foam — Set of 4 view 4,
sea-foam,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sea-foam-5.jpeg,5,Sea Foam — Set of 4 view 5,
sea-foam,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/sea-foam-6.jpeg,6,Sea Foam — Set of 4 view 6,
bronze-nebula,Bronze Nebula — Set of 4,"<p>A set of 4 handmade resin coasters with a swirling bronze nebula effect.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3644,0,shopify,1,deny,manual,50.00,TRUE,TRUE,https://werecured.ca/images/bronze-nebula-1.jpeg,1,Bronze Nebula — Set of 4,draft
bronze-nebula,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bronze-nebula-2.jpeg,2,Bronze Nebula — Set of 4 view 2,
bronze-nebula,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bronze-nebula-3.jpeg,3,Bronze Nebula — Set of 4 view 3,
bronze-nebula,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bronze-nebula-4.jpeg,4,Bronze Nebula — Set of 4 view 4,
bronze-nebula,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bronze-nebula-5.jpeg,5,Bronze Nebula — Set of 4 view 5,
bronze-nebula,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/bronze-nebula-6.jpeg,6,Bronze Nebula — Set of 4 view 6,
magenta-smoke,Magenta Smoke — Set of 3,"<p>A set of 3 handmade resin coasters in smoky magenta and pink.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3647,0,shopify,1,deny,manual,45.00,TRUE,TRUE,https://werecured.ca/images/magenta-smoke-1.jpeg,1,Magenta Smoke — Set of 3,draft
magenta-smoke,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/magenta-smoke-2.jpeg,2,Magenta Smoke — Set of 3 view 2,
magenta-smoke,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/magenta-smoke-3.jpeg,3,Magenta Smoke — Set of 3 view 3,
magenta-smoke,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/magenta-smoke-4.jpeg,4,Magenta Smoke — Set of 3 view 4,
magenta-smoke,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/magenta-smoke-5.jpeg,5,Magenta Smoke — Set of 3 view 5,
magenta-smoke,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/magenta-smoke-6.jpeg,6,Magenta Smoke — Set of 3 view 6,
magenta-smoke,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/magenta-smoke-7.jpeg,7,Magenta Smoke — Set of 3 view 7,
magenta-smoke,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/magenta-smoke-8.jpeg,8,Magenta Smoke — Set of 3 view 8,
magenta-smoke,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/magenta-smoke-9.jpeg,9,Magenta Smoke — Set of 3 view 9,
iridescent-aster,Iridescent Aster — Set of 4,"<p>A set of 4 handmade resin coasters with iridescent aster blooms.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3650,0,shopify,1,deny,manual,50.00,TRUE,TRUE,https://werecured.ca/images/iridescent-aster-1.jpeg,1,Iridescent Aster — Set of 4,draft
iridescent-aster,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/iridescent-aster-2.jpeg,2,Iridescent Aster — Set of 4 view 2,
iridescent-aster,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/iridescent-aster-3.jpeg,3,Iridescent Aster — Set of 4 view 3,
iridescent-aster,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/iridescent-aster-4.jpeg,4,Iridescent Aster — Set of 4 view 4,
iridescent-aster,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/iridescent-aster-5.jpeg,5,Iridescent Aster — Set of 4 view 5,
iridescent-aster,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/iridescent-aster-6.jpeg,6,Iridescent Aster — Set of 4 view 6,
iridescent-aster,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/iridescent-aster-7.jpeg,7,Iridescent Aster — Set of 4 view 7,
cosmic-geode,Cosmic Geode — Set of 4,"<p>A set of 4 handmade resin geode coasters in cosmic jewel tones.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Coaster set,Coasters,FALSE,Title,Default Title,,,,,WC-3654,0,shopify,1,deny,manual,60.00,TRUE,TRUE,https://werecured.ca/images/cosmic-geode-1.jpeg,1,Cosmic Geode — Set of 4,draft
cosmic-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cosmic-geode-2.jpeg,2,Cosmic Geode — Set of 4 view 2,
cosmic-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cosmic-geode-3.jpeg,3,Cosmic Geode — Set of 4 view 3,
cosmic-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cosmic-geode-4.jpeg,4,Cosmic Geode — Set of 4 view 4,
cosmic-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cosmic-geode-5.jpeg,5,Cosmic Geode — Set of 4 view 5,
cosmic-geode,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/cosmic-geode-6.jpeg,6,Cosmic Geode — Set of 4 view 6,
amethyst-embrace,Amethyst Embrace,"<p>A handmade resin planter cradled in a pair of clasped hands, in amethyst-purple tones.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Planter,Decorative Accents,FALSE,Title,Default Title,,,,,WC-3661,0,shopify,1,deny,manual,50.00,TRUE,TRUE,https://werecured.ca/images/amethyst-embrace-1.jpeg,1,Amethyst Embrace,draft
amethyst-embrace,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-embrace-2.jpeg,2,Amethyst Embrace view 2,
amethyst-embrace,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-embrace-3.jpeg,3,Amethyst Embrace view 3,
amethyst-embrace,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-embrace-4.jpeg,4,Amethyst Embrace view 4,
amethyst-embrace,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/amethyst-embrace-5.jpeg,5,Amethyst Embrace view 5,
green-thumb,Green Thumb,"<p>A handmade resin planter cradled in a pair of clasped hands, in green tones. Sold empty — plant not included.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Planter,Decorative Accents,FALSE,Title,Default Title,,,,,WC-3612,0,shopify,1,deny,manual,50.00,TRUE,TRUE,https://werecured.ca/images/green-thumb-1.jpeg,1,Green Thumb,draft
green-thumb,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/green-thumb-2.jpeg,2,Green Thumb view 2,
green-thumb,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/green-thumb-3.jpeg,3,Green Thumb view 3,
green-thumb,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/green-thumb-4.jpeg,4,Green Thumb view 4,
green-thumb,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/green-thumb-5.jpeg,5,Green Thumb view 5,
green-thumb,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/green-thumb-6.jpeg,6,Green Thumb view 6,
rose-garden-tray,Rose Garden Tray,"<p>A handmade resin tray with a deep red rim and a burgundy rose bloom on a shimmering green base.</p>
<p>Handmade, one-of-a-kind resin art by We're Cured!</p>",We're Cured!,,Tray,Bowls & Platters,FALSE,Title,Default Title,,,,,WC-3657,0,shopify,1,deny,manual,80.00,TRUE,TRUE,https://werecured.ca/images/rose-garden-tray-1.jpeg,1,Rose Garden Tray,draft
rose-garden-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/rose-garden-tray-2.jpeg,2,Rose Garden Tray view 2,
rose-garden-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/rose-garden-tray-3.jpeg,3,Rose Garden Tray view 3,
rose-garden-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/rose-garden-tray-4.jpeg,4,Rose Garden Tray view 4,
rose-garden-tray,,,,,,,,,,,,,,,,,,,,,,,https://werecured.ca/images/rose-garden-tray-5.jpeg,5,Rose Garden Tray view 5,
